[2022-07-28 13:01:02.048] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO c.t.s.SpringbootWithElkApplication@logStarting:55 - Starting SpringbootWithElkApplication using Java 17 on MyToshikas-MacBook-Air.local with PID 63355 (/Users/mytoshika/Downloads/spring-boot-with-logstash-elk-master/target/classes started by mytoshika in /Users/mytoshika/Downloads/spring-boot-with-logstash-elk-master)
[2022-07-28 13:01:02.052] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO c.t.s.SpringbootWithElkApplication@logStartupProfileInfo:635 - No active profile set, falling back to default profiles: default
[2022-07-28 13:01:02.213] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor@logTo:255 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[2022-07-28 13:01:02.214] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor@logTo:255 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[2022-07-28 13:01:05.564] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.s.b.w.e.tomcat.TomcatWebServer@initialize:108 - Tomcat initialized with port(s): 8080 (http)
[2022-07-28 13:01:05.591] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.a.catalina.core.StandardService@log:173 - Starting service [Tomcat]
[2022-07-28 13:01:05.592] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.a.catalina.core.StandardEngine@log:173 - Starting Servlet engine: [Apache Tomcat/9.0.56]
[2022-07-28 13:01:05.754] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.a.c.c.C.[Tomcat].[localhost].[/]@log:173 - Initializing Spring embedded WebApplicationContext
[2022-07-28 13:01:05.754] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.s.b.w.s.c.ServletWebServerApplicationContext@prepareWebApplicationContext:290 - Root WebApplicationContext: initialization completed in 3538 ms
[2022-07-28 13:01:06.742] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.s.b.d.a.OptionalLiveReloadServer@startServer:58 - LiveReload server is running on port 35729
[2022-07-28 13:01:06.828] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.s.b.w.e.tomcat.TomcatWebServer@start:220 - Tomcat started on port(s): 8080 (http) with context path ''
[2022-07-28 13:01:06.863] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO c.t.s.SpringbootWithElkApplication@logStarted:61 - Started SpringbootWithElkApplication in 10.858 seconds (JVM running for 12.797)
[2022-07-28 13:02:53.211] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO c.t.s.SpringbootWithElkApplication@logStarting:55 - Starting SpringbootWithElkApplication using Java 17 on MyToshikas-MacBook-Air.local with PID 63451 (/Users/mytoshika/Downloads/spring-boot-with-logstash-elk-master/target/classes started by mytoshika in /Users/mytoshika/Downloads/spring-boot-with-logstash-elk-master)
[2022-07-28 13:02:53.214] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO c.t.s.SpringbootWithElkApplication@logStartupProfileInfo:635 - No active profile set, falling back to default profiles: default
[2022-07-28 13:02:53.395] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor@logTo:255 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[2022-07-28 13:02:53.397] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor@logTo:255 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[2022-07-28 13:02:55.258] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.s.b.w.e.tomcat.TomcatWebServer@initialize:108 - Tomcat initialized with port(s): 8080 (http)
[2022-07-28 13:02:55.292] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.a.catalina.core.StandardService@log:173 - Starting service [Tomcat]
[2022-07-28 13:02:55.294] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.a.catalina.core.StandardEngine@log:173 - Starting Servlet engine: [Apache Tomcat/9.0.56]
[2022-07-28 13:02:55.519] [MyToshikas-MacBook-Air.local] [restartedMain] springAppName_IS_UNDEFINED   INFO o.a.c.c.C.[Tomcat].[localhost].[/]@log:173 - Initializing Spring embedded WebApplicationContext
